"site","tag","spcode","date","pd.psi","md.psi","year"
"BGN","229","QUHY","10/10/11",-1.17,-2.09,11
"BGN","233","QUHY","10/10/11",-0.75,-1.49,11
"BGN","236","QUHY","10/10/11",-0.75,-1.87,11
"GATEN","122","QUHY","10/10/11",-1.71,-2.35,11
"GATEN","114","QUHY","10/10/11",-1.25,-2.28,11
"GATEN","125","QUHY","10/10/11",-1.24,-2.5,11
"GATEN","121","QUHY","10/10/11",-0.97,-1.45,11
"GATEN","115","QUHY","10/10/11",-0.79,-2.51,11
"MDN","271","QUHY","10/10/11",NA,NA,11
"MDN","272","QUHY","10/10/11",NA,NA,11
"MDN","281","QUHY","10/10/11",NA,NA,11
"MDN","282","QUHY","10/10/11",NA,NA,11
"BGN","230","QUHY","06/13/12",-1.2,-1.34,12
"BGN","382","QUHY","06/13/12",NA,-1.08,12
"BGN","126","QUHY","06/13/12",NA,NA,12
"BGN","233","QUHY","08/24/12",-0.54,-1.25,12
"BGN","364","QUHY","08/24/12",-0.33,-0.9,12
"BGN","126","QUHY","08/24/12",-0.27,-1.61,12
"BGN","382","QUHY","05/24/13",-0.75,-0.83,13
"BGN","230","QUHY","05/24/13",-0.85,-0.86,13
"BGN","126","QUHY","05/24/13",-1.15,-1.72,13
"GATEN","121","QUHY","06/24/13",-0.2,-0.89,13
"GATEN","HYPT01","QUHY","06/24/13",-0.23,-0.99,13
"BGN","231","QUHY","06/25/13",-0.33,-0.95,13
"BGN","230","QUHY","06/25/13",-0.4,-1.49,13
"BGN","236","QUHY","06/25/13",-0.39,-1.22,13
"BGN","363","QUHY","06/25/13",-0.47,-1.87,13
"BGN","233","QUHY","06/25/13",-0.45,-1.33,13
